;title;price;free_shipping;post link;image link
0;Celular Xiaomi Redmi Note 12 4gb/128gb;197;Si;https://articulo.mercadolibre.com.ve/MLV-768627652-celular-xiaomi-redmi-note-12-4gb128gb-_JM#polycard_client=search-nordic&position=1&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_805780-MLV71543143760_092023-V.webp
1;Xiaomi Redmi Note 12 8gb/128gb  6.6  5000 Mah ;221;Si;https://articulo.mercadolibre.com.ve/MLV-765862660-xiaomi-redmi-note-12-8gb128gb-66-5000-mah-_JM#polycard_client=search-nordic&position=2&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_729088-MLV71150307396_082023-V.webp
2;Teléfono Celular Redmi Xiaomi Note 13 128+8 4g;241;Si;https://articulo.mercadolibre.com.ve/MLV-785323552-telefono-celular-redmi-xiaomi-note-13-1288-4g-_JM#polycard_client=search-nordic&position=3&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_813163-MLV74398598446_022024-V.webp
3;Xiaomi Note 10 Pro  6gb Ram , 128gb Rom;242;Si;https://articulo.mercadolibre.com.ve/MLV-765974982-xiaomi-note-10-pro-6gb-ram-128gb-rom-_JM#polycard_client=search-nordic&position=4&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_714189-MLV71176533571_082023-V.webp
4;Xiaomi Note 12 Pro 8gb/256 6.6  5000mah;321;Si;https://articulo.mercadolibre.com.ve/MLV-765862494-xiaomi-note-12-pro-8gb256-66-5000mah-_JM#polycard_client=search-nordic&position=5&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_722744-MLV71149520552_082023-V.webp
5;Celular Redmi Note 13pro + 5g;409;No;https://articulo.mercadolibre.com.ve/MLV-794867820-celular-redmi-note-13pro-5g-_JM#polycard_client=search-nordic&position=6&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_986819-MLV76267410529_052024-V.webp
6;Teléfono Celular Xiaomi Redmi Note 13 128+8 4g;241;Si;https://articulo.mercadolibre.com.ve/MLV-785349406-telefono-celular-xiaomi-redmi-note-13-1288-4g-_JM#polycard_client=search-nordic&position=7&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_998846-MLV74519095897_022024-V.webp
7;Xiaomi Redmi Note 12 Pro Plus Nuevo Reloj Audífono 2x250$;150;Si;https://articulo.mercadolibre.com.ve/MLV-759566783-xiaomi-redmi-note-12-pro-plus-nuevo-reloj-audifono-2x250-_JM#polycard_client=search-nordic&position=8&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_810841-MLV76328445131_052024-V.webp
8;Celular Xiaomi Redmi Note 13 Pro Plus 512gb+12gb 5g 200mp ;565;Si;https://articulo.mercadolibre.com.ve/MLV-795201020-celular-xiaomi-redmi-note-13-pro-plus-512gb12gb-5g-200mp-_JM#polycard_client=search-nordic&position=9&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_927307-MLV76346340427_052024-V.webp
9;Xiaomi Redmi Note 13 Pro Plus 12/512gb Reloj Audífono;300;Si;https://articulo.mercadolibre.com.ve/MLV-795220190-xiaomi-redmi-note-13-pro-plus-12512gb-reloj-audifono-_JM#polycard_client=search-nordic&position=10&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_759325-MLV76153309524_052024-V.webp
10;Celular Xiaomi Redmi Note 13 Pro Plus 512gb+12gb 200mp 5g;565;Si;https://articulo.mercadolibre.com.ve/MLV-795239644-celular-xiaomi-redmi-note-13-pro-plus-512gb12gb-200mp-5g-_JM#polycard_client=search-nordic&position=11&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_954241-MLV76346338369_052024-V.webp
11;Redmi Note 13 8/256;195;No;https://articulo.mercadolibre.com.ve/MLV-753757563-redmi-note-13-8256-_JM#polycard_client=search-nordic&position=12&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_988130-MLA74115277356_012024-V.webp
12;Xiaomi Redmi Note 13 Pro+ 5g 12gb Ram/512gb Memoria Interna ;430;No;https://articulo.mercadolibre.com.ve/MLV-785808742-xiaomi-redmi-note-13-pro-5g-12gb-ram512gb-memoria-interna-_JM#polycard_client=search-nordic&position=13&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_662198-MLV75297623261_032024-V.webp
13;Xiaomi Redmi Note 13 Pro 5g 512gb Memoria Interna/12gb Ram;340;No;https://articulo.mercadolibre.com.ve/MLV-786876702-xiaomi-redmi-note-13-pro-5g-512gb-memoria-interna12gb-ram-_JM#polycard_client=search-nordic&position=14&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_964923-MLV74827804767_022024-V.webp
14;Xiaomi Redmi Note 12s 8gb Ram/256gb Memoria Interna;190;No;https://articulo.mercadolibre.com.ve/MLV-766347168-xiaomi-redmi-note-12s-8gb-ram256gb-memoria-interna-_JM#polycard_client=search-nordic&position=15&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_840669-MLV71274682111_082023-V.webp
15;Xiaomi Redmi Note 12s 256gb Memoria Rom/8gb Memoria Ram;190;No;https://articulo.mercadolibre.com.ve/MLV-773265938-xiaomi-redmi-note-12s-256gb-memoria-rom8gb-memoria-ram-_JM#polycard_client=search-nordic&position=16&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_732689-MLV72244106596_102023-V.webp
16;Xiaomi Redmi Note 13 Pro+ 5g 512gb Memoria Interna/12gb Ram;430;No;https://articulo.mercadolibre.com.ve/MLV-785795700-xiaomi-redmi-note-13-pro-5g-512gb-memoria-interna12gb-ram-_JM#polycard_client=search-nordic&position=17&search_layout=stack&type=item&tracking_id=982a0187-1d0b-41e8-975d-b31c09e614fc;https://http2.mlstatic.com/D_Q_NP_2X_971980-MLV75151313142_032024-V.webp
